Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
22, 524288, 1, 8, 512, 3.901, 1.23293, N/A, 7.30806, 7.6626, 527.916, 25.2928, 16, 4, 1, 1, 8, 2, 28.7155, 8, 8, 4, 1, 8, 1, 52.1962, 
22, 524288, 1, 8, 8, 4.7095, 1.23563, N/A, 0.581131, 0.505344, 1629.22, 36.5072, 8, 8, 32, 16, 8, 1, 84.8546, 32, 128, 16, 1, 16, 1, 50.4916, 
22, 524288, 1, 8, 8, 4.79001, 1.23563, N/A, 0.592576, 0.518628, 1704.58, 37.9829, 8, 8, 32, 16, 8, 1, 84.8546, 32, 128, 16, 1, 16, 1, 51.4113, 
22, 4096, 1, 8, 8, 0.442226, 0.272522, N/A, 0.018152, 0.0149361, 23.9043, 0.213097, 2, 2, 2, 4, 8, 1, 78.3239, 4, 8, 2, 1, 4, 1, 54.102, 
22, 4096, 1, 8, 8, 0.433809, 0.272522, N/A, 0.0175952, 0.0141556, 22.796, 0.2033, 2, 2, 2, 4, 8, 1, 78.3239, 4, 8, 2, 1, 4, 1, 53.0032, 
22, 4096, 1, 8, 8, 0.424956, 0.272522, N/A, 0.0169819, 0.0133473, 21.7387, 0.192061, 2, 2, 2, 4, 8, 1, 78.3239, 4, 8, 2, 1, 4, 1, 52.0943, 
22, 4096, 1, 8, 8, 0.442226, 0.272522, N/A, 0.018152, 0.0149361, 23.9043, 0.213097, 2, 2, 2, 4, 8, 1, 78.3239, 4, 8, 2, 1, 4, 1, 54.102, 
22, 8192, 1, 8, 8, 0.498887, 0.432862, N/A, 0.0194444, 0.0145771, 26.1651, 0.27394, 2, 2, 2, 8, 8, 1, 82.7047, 4, 8, 2, 1, 4, 1, 53.0032, 
22, 8192, 1, 8, 8, 0.498887, 0.432862, N/A, 0.0194444, 0.0145771, 26.1651, 0.27394, 2, 2, 2, 8, 8, 1, 82.7047, 4, 8, 2, 1, 4, 1, 53.0032, 
22, 8192, 1, 8, 8, 0.450781, 0.432862, N/A, 0.0220505, 0.0203061, 27.6813, 0.273888, 2, 2, 2, 8, 1, 1, 79.2616, 4, 8, 2, 1, 4, 1, 53.0032, 
22, 8192, 1, 8, 8, 0.295941, 0.272688, N/A, 0.0244933, 0.0207602, 45.3433, 0.476897, 2, 2, 2, 8, 1, 1, 66.6514, 2, 16, 2, 1, 4, 1, 30.2668, 
22, 8192, 1, 8, 8, 0.295941, 0.272688, N/A, 0.0244933, 0.0207602, 45.3433, 0.476897, 2, 2, 2, 8, 1, 1, 66.6514, 2, 16, 2, 1, 4, 1, 30.2668, 
22, 8192, 1, 8, 8, 0.314227, 0.272688, N/A, 0.0287777, 0.0272702, 32.2732, 0.412805, 2, 2, 2, 8, 1, 1, 66.6514, 4, 8, 2, 1, 4, 1, 42.4927, 
22, 8192, 1, 8, 8, 0.295941, 0.272688, N/A, 0.0239811, 0.0201123, 42.7752, 0.449386, 2, 2, 2, 8, 1, 1, 66.6514, 2, 16, 2, 1, 4, 1, 30.0945, 
22, 8192, 1, 8, 8, 0.295941, 0.272688, N/A, 0.0247381, 0.0212251, 48.1097, 0.495609, 2, 2, 2, 8, 1, 1, 66.6514, 2, 16, 2, 1, 4, 1, 30.9075, 
22, 8192, 1, 8, 8, 0.295941, 0.272688, N/A, 0.0244933, 0.0207602, 45.3433, 0.476897, 2, 2, 2, 8, 1, 1, 66.6514, 2, 16, 2, 1, 4, 1, 30.2668, 
22, 8192, 1, 8, 8, 0.295941, 0.272688, N/A, 0.0244933, 0.0207602, 45.3433, 0.476897, 2, 2, 2, 8, 1, 1, 66.6514, 2, 16, 2, 1, 4, 1, 30.2668, 
22, 8192, 1, 8, 8, 0.295941, 0.272688, N/A, 0.0244933, 0.0207602, 45.3433, 0.476897, 2, 2, 2, 8, 1, 1, 66.6514, 2, 16, 2, 1, 4, 1, 30.2668, 
22, 8192, 1, 8, 8, 0.295941, 0.272688, N/A, 0.0244933, 0.0207602, 45.3433, 0.476897, 2, 2, 2, 8, 1, 1, 66.6514, 2, 16, 2, 1, 4, 1, 30.2668, 
22, 8192, 1, 8, 8, 0.295941, 0.272688, N/A, 0.0239811, 0.0201123, 42.7752, 0.449386, 2, 2, 2, 8, 1, 1, 66.6514, 2, 16, 2, 1, 4, 1, 30.0945, 
22, 8192, 1, 8, 8, 0.498887, 0.432862, N/A, 0.0194444, 0.0145771, 26.1651, 0.27394, 2, 2, 2, 8, 8, 1, 82.7047, 4, 8, 2, 1, 4, 1, 53.0032, 
