Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
22, 524288, 1, 8, 512, 3.901, 1.23293, N/A, 7.30713, 7.66158, 547.129, 24.5712, 16, 4, 1, 1, 8, 2, 28.7155, 4, 16, 2, 1, 4, 1, 53.8116, 
22, 524288, 1, 8, 8, 4.94488, 1.23563, N/A, 0.61456, 0.545047, 1888.31, 40.8181, 8, 8, 32, 16, 8, 1, 84.8546, 32, 128, 16, 1, 16, 1, 52.956, 
22, 8192, 1, 8, 8, 0.646822, 0.432862, N/A, 0.0332471, 0.0265301, 51.5308, 0.617688, 2, 2, 4, 8, 8, 1, 82.7047, 4, 16, 2, 1, 4, 1, 53.8116, 
22, 8192, 1, 8, 8, 0.646822, 0.432862, N/A, 0.0332471, 0.0265301, 51.5308, 0.617688, 2, 2, 4, 8, 8, 1, 82.7047, 4, 16, 2, 1, 4, 1, 53.8116, 
22, 8192, 1, 8, 8, 0.646822, 0.432862, N/A, 0.0332471, 0.0265301, 51.5308, 0.617688, 2, 2, 4, 8, 8, 1, 82.7047, 4, 16, 2, 1, 4, 1, 53.8116, 
22, 8192, 1, 8, 8, 0.646822, 0.432862, N/A, 0.0332471, 0.0265301, 51.5308, 0.617688, 2, 2, 4, 8, 8, 1, 82.7047, 4, 16, 2, 1, 4, 1, 53.8116, 
22, 8192, 1, 8, 8, 0.646822, 0.432862, N/A, 0.0332471, 0.0265301, 51.5308, 0.617688, 2, 2, 4, 8, 8, 1, 82.7047, 4, 16, 2, 1, 4, 1, 53.8116, 
22, 8192, 1, 8, 8, 0.378098, 0.272688, N/A, 0.0432136, 0.038275, 53.0746, 0.802647, 2, 2, 4, 8, 1, 1, 66.6514, 4, 16, 2, 1, 4, 1, 40.1362, 
22, 16384, 1, 8, 8, 0.434997, 0.473728, N/A, 0.049531, 0.0417272, 61.3354, 1.13743, 2, 2, 4, 16, 1, 1, 68.9649, 4, 16, 2, 1, 4, 1, 40.1362, 
22, 16384, 1, 8, 8, 0.434997, 0.473728, N/A, 0.049531, 0.0417272, 61.3354, 1.13743, 2, 2, 4, 16, 1, 1, 68.9649, 4, 16, 2, 1, 4, 1, 40.1362, 
22, 16384, 1, 8, 8, 0.434997, 0.473728, N/A, 0.0511716, 0.044308, 66.1712, 1.20364, 2, 2, 4, 16, 1, 1, 68.9649, 4, 16, 2, 1, 4, 1, 41.1908, 
22, 16384, 1, 8, 8, 0.434997, 0.473728, N/A, 0.0511716, 0.044308, 66.1712, 1.20364, 2, 2, 4, 16, 1, 1, 68.9649, 4, 16, 2, 1, 4, 1, 41.1908, 
22, 16384, 1, 8, 8, 0.338775, 0.329921, N/A, 0.0329068, 0.0336791, 31.6317, 0.398857, 2, 2, 4, 16, 1, 1, 69.4756, 8, 4, 4, 1, 8, 1, 49.6942, 
