Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
22, 524288, 1, 8, 512, 3.901, 1.23293, N/A, 7.30806, 7.6626, 527.916, 25.2928, 16, 4, 1, 1, 8, 2, 28.7155, 8, 8, 4, 1, 8, 1, 52.1962, 
22, 524288, 1, 8, 8, 4.7095, 1.23563, N/A, 0.581131, 0.505344, 1629.22, 36.5072, 8, 8, 32, 16, 8, 1, 84.8546, 32, 128, 16, 1, 16, 1, 50.4916, 
22, 524288, 1, 8, 8, 4.79001, 1.23563, N/A, 0.592576, 0.518628, 1704.58, 37.9829, 8, 8, 32, 16, 8, 1, 84.8546, 32, 128, 16, 1, 16, 1, 51.4113, 
22, 8192, 1, 8, 8, 0.651256, 0.432862, N/A, 0.0343619, 0.0263014, 46.9596, 0.423122, 2, 2, 4, 8, 8, 1, 82.7047, 8, 8, 4, 1, 4, 1, 53.9095, 
22, 8192, 1, 8, 8, 0.637149, 0.432862, N/A, 0.034177, 0.0275512, 32.3173, 0.407838, 2, 2, 4, 8, 8, 1, 82.7047, 8, 8, 4, 1, 8, 1, 52.1962, 
22, 8192, 1, 8, 8, 0.651256, 0.432862, N/A, 0.0343619, 0.0263014, 46.9596, 0.423122, 2, 2, 4, 8, 8, 1, 82.7047, 8, 8, 4, 1, 4, 1, 53.9095, 
22, 8192, 1, 8, 8, 0.651256, 0.432862, N/A, 0.0343619, 0.0263014, 46.9596, 0.423122, 2, 2, 4, 8, 8, 1, 82.7047, 8, 8, 4, 1, 4, 1, 53.9095, 
22, 8192, 1, 8, 8, 0.651256, 0.432862, N/A, 0.0343619, 0.0263014, 46.9596, 0.423122, 2, 2, 4, 8, 8, 1, 82.7047, 8, 8, 4, 1, 4, 1, 53.9095, 
22, 8192, 1, 8, 8, 0.651256, 0.432862, N/A, 0.0343619, 0.0263014, 46.9596, 0.423122, 2, 2, 4, 8, 8, 1, 82.7047, 8, 8, 4, 1, 4, 1, 53.9095, 
22, 8192, 1, 8, 8, 0.364666, 0.272688, N/A, 0.0415169, 0.035738, 48.5033, 0.74391, 2, 2, 4, 8, 1, 1, 66.6514, 4, 16, 2, 1, 4, 1, 38.6784, 
22, 8192, 1, 8, 8, 0.333962, 0.272688, N/A, 0.0339428, 0.0293527, 35.0581, 0.489297, 2, 2, 4, 8, 1, 1, 66.6514, 4, 8, 4, 1, 8, 1, 45.3695, 
22, 16384, 1, 8, 8, 0.434997, 0.473728, N/A, 0.0402602, 0.0328049, 43.3189, 0.667205, 2, 2, 4, 16, 1, 1, 68.9649, 4, 8, 4, 1, 8, 1, 45.3695, 
22, 16384, 1, 8, 8, 0.317552, 0.329921, N/A, 0.0254219, 0.0202433, 32.1522, 0.359374, 2, 2, 4, 16, 1, 1, 69.4756, 4, 8, 4, 1, 4, 2, 45.7939, 
